@relation rillof.triples.sentences.txt-weka.filters.unsupervised.attribute.NumericToBinary-R5

@attribute tree string
@attribute subject string
@attribute relation string
@attribute object string
@attribute class_binarized {0,1}

@data
' ( ROOT ( FRAG ( ADJP ( JJ flat ) ) ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ musical ) ( NN notation ) ) ( VP ( VBG indicating ) ( ADVP ( NP ( CD 1 ) ( JJ half ) ( NN step ) ) ( JJR lower ) ) ( PP ( IN than ) ( NP ( NP ( DT the ) ( NN note ) ) ( VP ( VBN named ) ) ) ) ) ) ) ) ) ) ',' ( NP ( DT the ) ( NN note ) ) ',' ( VB Named ) ',' ( NP ( NN thing ) ) ',1
' ( ROOT ( FRAG ( ADJP ( JJ green ) ( JJ ash ) ) ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( NN variety ) ) ( PP ( IN of ) ( NP ( JJ red ) ( ADJP ( JJ ash ) ( S ( VP ( VBG having ) ( NP ( NP ( JJ glossy ) ( NNS branchlet ) ) ( CC and ) ( NP ( JJR lower ) ( NN leaf ) ) ) ) ) ) ( NNS surface ) ) ) ) ) ) ) ) ',' ( NP ( NP ( JJ glossy ) ( NNS branchlet ) ) ( CC and ) ( NP ( JJR lower ) ( NN leaf ) ) ) ',' ( VB Having ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( ADJP ( JJ grotesque ) ) ( S ( VP ( VBZ be ) ( NP ( NP ( NN art ) ) ( VP ( VBN characterized ) ( PP ( IN by ) ( NP ( NP ( DT an ) ( JJ incongruous ) ( NN mixture ) ) ( PP ( IN of ) ( NP ( NP ( NNS parts ) ) ( PP ( IN of ) ( NP ( NP ( NNS humans ) ( CC and ) ( NNS animal ) ) ( VP ( VBN interwoven ) ( PP ( IN with ) ( NP ( NNS plant ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NN art ) ) ',' ( VB Characterized ) ',' ( NP ( NN thing ) ) ',0
' ( ROOT ( FRAG ( ADJP ( JJ grotesque ) ) ( S ( VP ( VBZ be ) ( NP ( NP ( NN art ) ) ( VP ( VBN characterized ) ( PP ( IN by ) ( NP ( NP ( DT an ) ( JJ incongruous ) ( NN mixture ) ) ( PP ( IN of ) ( NP ( NP ( NNS parts ) ) ( PP ( IN of ) ( NP ( NP ( NNS humans ) ( CC and ) ( NNS animal ) ) ( VP ( VBN interwoven ) ( PP ( IN with ) ( NP ( NNS plant ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NN art ) ) ',' ( VB Interwoven ) ',' ( NP ( NN thing ) ) ',0
' ( ROOT ( FRAG ( ADJP ( RB north ) ( JJ germanic ) ) ( S ( VP ( VBZ be ) ( NP ( NP ( DT the ) ( JJ northern ) ( NN family ) ) ( PP ( IN of ) ( NP ( JJ Germanic ) ( NNS language ) ) ) ( SBAR ( WHNP ( WDT that ) ) ( S ( VP ( VBP be ) ( VP ( VBN spoken ) ( PP ( IN in ) ( NP ( NNP scandinavia ) ( CC and ) ( NNP iceland ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NNP scandinavia ) ( CC and ) ( NNP iceland ) ) ',' ( VB Spoken ) ',' ( NP ( NN thing ) ) ',0
' ( ROOT ( FRAG ( ADVP ( RB ely ) ) ( NP ( NP ( NN culbertson ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( NNP United ) ( NNPS state ) ( NN authority ) ) ( PP ( IN on ) ( NP ( NN contract ) ( NN bridge ) ) ) ( SBAR ( WP$ whose ) ( S ( NP ( NNS book ) ) ( VP ( VBD helped ) ( S ( VP ( TO to ) ( VP ( VB popularize ) ( NP ( DT the ) ( NN game ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NNS book ) ) ',' ( VB Helpedtopopularize ) ',' ( NP ( NN thing ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( JJR higher ) ( JJ national ) ( NN diploma ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( NN diploma ) ) ( PP ( VBN given ) ( PP ( IN for ) ( NP ( NP ( JJ vocational ) ( NN training ) ) ( SBAR ( WHNP ( WDT that ) ) ( S ( VP ( VBZ prepares ) ( NP ( NP ( DT the ) ( NN student ) ) ( PP ( IN for ) ( NP ( NP ( DT a ) ( NN career ) ) ( PP ( IN in ) ( NP ( DT a ) ( JJ particular ) ( NN area ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( NP ( JJ vocational ) ( NN training ) ) ( SBAR ( WHNP ( WDT that ) ) ( S ( VP ( VBZ prepares ) ( NP ( NP ( DT the ) ( NN student ) ) ( PP ( IN for ) ( NP ( NP ( DT a ) ( NN career ) ) ( PP ( IN in ) ( NP ( DT a ) ( JJ particular ) ( NN area ) ) ) ) ) ) ) ) ) ) ',' ( VB Given ) ',' ( NP ( NN thing ) ) ',0
' ( ROOT ( FRAG ( NP ( NP ( NN czar ) ( NN peter ) ) ( SBAR ( S ( NP ( FW i ) ) ( VP ( VBZ be ) ( NP ( NP ( NN czar ) ) ( PP ( IN of ) ( NP ( NNP russia ) ) ) ( SBAR ( WHNP ( WP who ) ) ( S ( VP ( VBD introduced ) ( NP ( NNS idea ) ) ( PP ( IN from ) ( NP ( JJ western ) ( NNP europe ) ) ) ( S ( VP ( TO to ) ( VP ( VB reform ) ( NP ( DT the ) ( NN government ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ',' ( NP ( DT the ) ( NN government ) ) ',' ( VB Reform ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN family ) ( NN labiatae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Resembling ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
' ( ROOT ( FRAG ( NP ( NP ( NN family ) ( NN labiatae ) ) ( SBAR ( S ( VP ( VBZ be ) ( NP ( NP ( DT a ) ( JJ large ) ( NN family ) ) ( PP ( IN of ) ( NP ( NP ( JJ aromatic ) ( NNS herb ) ( CC and ) ( NNS shrub ) ) ( VP ( VBG having ) ( NP ( NNS flower ) ) ( S ( VP ( VBG resembling ) ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ) ) ) ) ) ) ) ) ) ) ( X ( S ( VP ( VBG yielding ) ( NP ( CD 4 ) ( JJ one-seeded ) ( NNS nutlet ) ) ) ) ( CC and ) ( PP ( VBG including ) ( NP ( NN mint ) ) ) ) ) ) ',' ( NP ( NP ( DT the ) ( NNS lip ) ) ( PP ( IN of ) ( NP ( NP ( DT a ) ( NN mouth ) ) ( CC and ) ( NP ( JJ four-lobed ) ( NNS ovary ) ) ) ) ) ',' ( VB Yielding ) ',' ( PP ( IN by ) ( NP ( NN thing ) ) ) ',1
