tree	subject	relation	object	class
 ( ROOT  ( S  ( NP  ( NNP girard )  )   ( VP  ( VP  ( VBZ has )   ( NP  ( NP  ( NP  ( DT a )   ( NN bachelor )   ( POS s )  )   ( NN degree )  )   ( PP  ( IN in )   ( NP  ( NP  ( JJ political )   ( NNS science )  )   ( PP  ( IN at )   ( NP  ( DT the )   ( NNP Universite )   ( IN de )   ( NNP montreal )  )  )  )  )  )  )   ( CC and )   ( VP  ( VBD did )   ( NP  ( NNS study )  )   ( PP  ( IN for )   ( NP  ( NP  ( DT the )   ( NN master )   ( POS s )  )   ( NN degree )  )  )   ( PP  ( IN in )   ( NP  ( JJ industrial )   ( NNS relations )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP girard )  ) 	 ( VBZ has ) 	 ( NP  ( NP  ( DT a )   ( NN bachelor )   ( POS s )  )   ( NN degree )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP It )  )   ( VP  ( VBD be )   ( NP  ( NP  ( # # )   ( CD 109 )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( NNP billboard )   ( CD 200 )   ( NN chart )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP It )  ) 	 ( VBD be ) 	 ( NP  ( # # )   ( CD 109 )  ) 	1
 ( ROOT  ( S  ( NP  ( PRP It )  )   ( VP  ( VBD be )   ( NP  ( NP  ( # # )   ( CD 109 )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( NNP billboard )   ( CD 200 )   ( NN chart )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( PRP It )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( # # )   ( CD 109 )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( NNP billboard )   ( CD 200 )   ( NN chart )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP outpost )   ( NNP Harry )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP outpost )   ( NNP Harry )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP outpost )   ( NNP Harry )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP outpost )   ( NNP Harry )  ) 	 ( VBD be ) 	 ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP outpost )   ( NNP Harry )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP outpost )   ( NNP Harry )  ) 	 ( VBD be ) 	 ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP outpost )   ( NNP Harry )  )   ( VP  ( VBD be )   ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP outpost )   ( NNP Harry )  ) 	 ( VBD be ) 	 ( NP  ( NP  ( DT a )   ( JJ remote )   ( JJ Korean )   ( NN war )   ( NN station )  )   ( ADJP  ( JJ located )   ( PP  ( IN on )   ( NP  ( NP  ( DT a )   ( JJ tiny )   ( NN hilltop )  )   ( PP  ( IN in )   ( SBAR  ( WHNP  ( WP what )  )   ( S  ( VP  ( VBD be )   ( ADVP  ( RB commonly )  )   ( VP  ( VBN referred )   ( S  ( VP  ( TO to )  )  )   ( PP  ( IN as )   ( NP  ( NP  ( DT the )   ( NNP iron )   ( NNP triangle )  )   ( PP  ( IN on )   ( NP  ( DT the )   ( JJ Korean )   ( NNP peninsula )  )  )  )  )  )  )  )  )  )  )  )  )  ) 	1
" ( ROOT  ( S  ( NP  ( NN fighting )  )   ( VP  ( VBD continued )   ( PP  ( IN in )   ( CC and )   ( IN around )   ( NP  ( NNP Baidoa )  )  )   ( , , )   ( ADVP  ( RB particularly )  )   ( PP  ( IN at )   ( NP  ( NP  ( NP  ( NNP Iidale )  )   ( CC and )   ( NP  ( NNP Dinsoor )  )  )   ( : ; )   ( ADVP  ( NP  ( QP  ( RB approximately )   ( CD 60 )   ( CC and )   ( CD 120 )  )   ( NNS kilometre )  )   ( RB south )   ( PP  ( IN of )   ( NP  ( NNP Baidoa )  )   ( ADVP  ( RB respectively )  )  )  )  )  )  )   ( . . )  )  ) "	 ( NP  ( NN fighting )  ) 	 ( VBD continued ) 	 ( PP  ( IN in )   ( CC and )   ( IN around )   ( NP  ( NNP Baidoa )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP wu )  )   ( VP  ( VBD worked )   ( PP  ( IN as )   ( NP  ( NP  ( DT a )   ( NN reporter )  )   ( PP  ( IN for )   ( NP  ( NP  ( NNP United )   ( NNP press )   ( NNP international )  )   ( PP  ( IN from )   ( NP  ( CD 1973 )  )  )  )  )  )  )   ( PP  ( IN until )   ( NP  ( CD 1978 )  )  )   ( SBAR  ( WHADVP  ( WRB when )  )   ( S  ( NP  ( PRP she )  )   ( VP  ( VBD joined )   ( NP  ( NP  ( NNP tv )  )   ( , , )   ( NP  ( NP  ( NNP boston )   ( POS s )  )   ( JJ public )   ( NN television )   ( NN station )  )   ( , , )  )   ( PP  ( IN as )   ( NP  ( DT the )   ( NNP massachusetts )   ( NNP state )   ( NNP house )   ( NN reporter )  )  )   ( PP  ( IN until )   ( NP  ( CD 1983 )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP wu )  ) 	 ( VBD worked ) 	 ( PP  ( IN as )   ( NP  ( NP  ( DT a )   ( NN reporter )  )   ( PP  ( IN for )   ( NP  ( NP  ( NNP United )   ( NNP press )   ( NNP international )  )   ( PP  ( IN from )   ( NP  ( CD 1973 )  )  )  )  )  )  ) 	1
 ( ROOT  ( S  ( NP  ( NNP wu )  )   ( VP  ( VBD worked )   ( PP  ( IN as )   ( NP  ( NP  ( DT a )   ( NN reporter )  )   ( PP  ( IN for )   ( NP  ( NP  ( NNP United )   ( NNP press )   ( NNP international )  )   ( PP  ( IN from )   ( NP  ( CD 1973 )  )  )  )  )  )  )   ( PP  ( IN until )   ( NP  ( CD 1978 )  )  )   ( SBAR  ( WHADVP  ( WRB when )  )   ( S  ( NP  ( PRP she )  )   ( VP  ( VBD joined )   ( NP  ( NP  ( NNP tv )  )   ( , , )   ( NP  ( NP  ( NNP boston )   ( POS s )  )   ( JJ public )   ( NN television )   ( NN station )  )   ( , , )  )   ( PP  ( IN as )   ( NP  ( DT the )   ( NNP massachusetts )   ( NNP state )   ( NNP house )   ( NN reporter )  )  )   ( PP  ( IN until )   ( NP  ( CD 1983 )  )  )  )  )  )  )   ( . . )  )  ) 	 ( NP  ( NNP wu )  ) 	 ( VBD worked ) 	 ( NP  ( DT a )   ( NN reporter )  ) 	1
